,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Lean Wit Me,0.665,0.651,1,-5.515,1,0.156,0.0414,0.0,0.0896,0.237,163.935,175755,2018
Mo Bamba,0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,183907,2018
Legends,0.594,0.798,4,-5.244,1,0.0844,0.115,0.0,0.143,0.381,142.049,191840,2018
Kung Fu,0.876,0.608,8,-6.019,1,0.109,0.0227,1.16e-05,0.107,0.258,124.983,199680,2018
REEL IT IN,0.754,0.342,10,-8.677,0,0.0991,0.073,0.0,0.193,0.423,128.981,121347,2018
Dark Knight Dummo,0.28,0.821,8,-2.864,0,0.111,0.167,0.0,0.139,0.254,181.444,256163,2018
Benz Truck (гелик),0.602,0.762,2,-6.149,0,0.0347,0.0498,0.00819,0.121,0.113,92.02,159987,2017
Powerglide (feat. Juicy J) - From SR3MM,0.713,0.831,1,-4.75,0,0.15,0.0168,0.0,0.118,0.584,173.948,332301,2018
1-800-273-8255,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023,250173,2017
"King's Dead (with Kendrick Lamar, Future & James Blake)",0.645,0.705,1,-5.008,1,0.299,0.000813,0.0,0.128,0.376,137.133,229670,2018
Bands,0.713,0.609,10,-4.895,0,0.133,0.0076,0.0,0.277,0.198,130.826,195082,2019
Walk (Remix),0.813,0.586,2,-10.478,1,0.379,0.0547,0.0,0.238,0.798,160.043,186517,2019
Stop Snitchin (feat. DaBaby) - Remix,0.924,0.722,7,-3.822,1,0.252,0.0124,0.0,0.145,0.598,90.465,136733,2019
Butterfly Doors,0.925,0.397,5,-11.265,1,0.169,0.0889,5.12e-05,0.144,0.429,130.008,132923,2019
Antidote,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,262693,2015
Hell Of A Night,0.652,0.836,2,-7.179,0,0.153,0.377,0.0,0.138,0.162,123.946,272453,2014
Worth It,0.813,0.501,6,-10.877,0,0.0652,0.293,3.62e-05,0.113,0.341,125.969,168000,2019
Futsal Shuffle 2020,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,198913,2019
No Role Modelz,0.664,0.524,10,-8.338,0,0.339,0.264,0.0,0.0555,0.476,99.948,292987,2014
